firstName,lastName,title,DOB,address,city,district,postalCode,homePhone,mobilePhone,email,notes
Ashton,Rocha,Mr,1929-02-13,Ap #163-9917 Gravida Street,Oamaru,North Island,4579,(07) 4687 8129,(01) 6212 5894,id.blandit@hotmail.net,Etiam ligula
Yolanda,Lyons,Miss,1915-08-24,Ap #427-1120 Curabitur St.,Tauranga,North Island,1357,(08) 6207 7265,(08) 4029 7837,a.ultricies@protonmail.com,"ante. Nunc mauris sapien, cursus in, hendrerit consectetuer,"
Hashim,Dejesus,Miss,1925-09-11,Ap #868-8722 Luctus Ave,Waiuku,North Island,6253,(02) 5044 8280,(06) 9585 0487,sed.orci@outlook.com,"aliquam iaculis, lacus pede sagittis augue, eu"
Mona,Stone,Mr,1941-09-23,Ap #493-2061 Pellentesque St.,Wellington,North Island,6425,(02) 5356 9363,(03) 5857 7316,ac.metus@outlook.couk,"id, ante. Nunc mauris sapien, cursus"
Abigail,Owen,Mr,1947-04-03,Ap #838-6289 Sagittis Avenue,Auckland,North Island,5686,(07) 2193 6533,(09) 9187 4357,cursus.non@yahoo.couk,Nullam nisl. Maecenas malesuada fringilla est. Mauris eu
Dolan,Ewing,Sir,1951-10-06,8550 Aliquam St.,Gore,North Island,6546,(04) 8612 5348,(03) 3257 2773,sed.sem.egestas@google.com,"parturient montes, nascetur ridiculus mus. Proin vel arcu eu"
Florence,Barlow,Mr,1912-07-11,290-5610 Auctor St.,Blenheim,South Island,5268,(09) 8222 3541,(06) 7114 2181,quis.turpis@google.edu,"condimentum eget,"
Jared,Mccall,Mr,1965-01-14,Ap #980-8319 Magna. St.,Blenheim,South Island,6222,(05) 8397 9705,(03) 5827 4110,cras.dictum@icloud.edu,nisi magna sed dui.
Abra,Hendricks,Mr,1944-03-01,4534 Phasellus St.,Dannevirke,South Island,2814,(08) 0715 3463,(09) 4545 4274,luctus.et.ultrices@hotmail.ca,semper cursus. Integer mollis. Integer tincidunt
Len,Chavez,Miss,1929-08-12,Ap #603-2748 Sit Street,Thames,North Island,5139,(07) 2507 3008,(09) 8843 3284,non.enim@icloud.couk,"pharetra, felis"
Kyla,Sheppard,Dr,1914-01-23,244-2443 Consectetuer Avenue,Palmerston North,South Island,1367,(03) 2185 7730,(02) 9117 2063,fringilla@google.com,Suspendisse tristique neque venenatis
Dawn,Moore,Miss,1953-04-22,303-7781 Convallis Ave,Waitakere,South Island,6663,(04) 2123 4505,(02) 2846 9476,eu.dolor.egestas@icloud.com,"sit amet,"
Giselle,Gordon,Ms,1923-08-23,"127-7473 Dolor, Avenue",Rangiora,North Island,9625,(04) 9212 6145,(06) 5217 2584,penatibus@google.com,Praesent interdum ligula eu enim.
Iris,Miller,Miss,1955-05-30,"P.O. Box 894, 3203 Ipsum Av.",Ashburton,North Island,4294,(08) 8288 4677,(02) 2121 4543,mauris@google.ca,"metus urna convallis erat, eget tincidunt dui"
Hakeem,Bolton,Dr,1969-12-11,"7014 Ut, Road",Taupo,North Island,5296,(05) 1321 4647,(02) 4426 8979,tellus.non@hotmail.org,"non, cursus non, egestas a, dui. Cras pellentesque."
Tamara,Martin,Mr,1954-02-07,Ap #652-8113 Lectus Avenue,Queenstown,North Island,3723,(07) 4364 6853,(08) 8858 7725,penatibus.et.magnis@icloud.com,nulla at sem molestie
Yolanda,Middleton,Ms,1945-10-23,Ap #504-767 Pede Rd.,Picton,North Island,4669,(04) 2271 4954,(06) 2584 3493,ultrices.posuere@yahoo.com,erat vitae risus.
Mara,Armstrong,Mr,1935-01-24,7532 Cursus. St.,Levin,South Island,5157,(07) 2815 6326,(02) 3735 6449,ut.eros.non@icloud.com,"Duis elementum, dui quis accumsan convallis, ante lectus convallis est,"
Graham,Clark,Dr,1961-03-19,854-9876 Dapibus Avenue,Picton,South Island,9412,(05) 1312 4232,(07) 9737 5138,orci.donec@icloud.ca,"laoreet posuere, enim nisl elementum purus, accumsan interdum"
Kato,Herrera,Miss,1936-12-03,"P.O. Box 169, 3630 Lobortis Ave",Balclutha,South Island,2625,(05) 3086 9935,(08) 6953 2763,euismod.mauris@yahoo.com,est arcu ac orci.
