firstName,lastName,title,DOB,address,city,district,postalCode,homePhone,mobilePhone,email,notes
Cooper,Russell,Miss,1951-10-16,Ap #653-5807 Egestas Ave,Blenheim,South Island,2958,(02) 7886 1997,(08) 6076 7718,mauris.non.dui@hotmail.org,ac urna. Ut tincidunt vehicula risus. Nulla eget
Tatyana,Colon,Ms,1968-04-01,4463 Mauris Rd.,Dannevirke,South Island,7954,(05) 7586 9287,(05) 6723 1115,urna@hotmail.net,blandit. Nam
Galvin,Griffith,Sir,1923-03-14,"P.O. Box 587, 8612 Pede, Street",Dannevirke,North Island,6962,(03) 1075 6676,(07) 4349 2472,vitae.erat@yahoo.org,non sapien molestie orci tincidunt adipiscing. Mauris molestie
Mercedes,Stout,Mr,1966-10-01,"P.O. Box 768, 7913 Tellus St.",Motueka,South Island,7224,(06) 6583 7351,(07) 8906 1939,sapien.cras@icloud.edu,est tempor bibendum. Donec
Ivana,Todd,Miss,1962-02-15,Ap #336-6228 Elit Avenue,Alexandra,North Island,7504,(06) 6331 1303,(06) 1377 6252,commodo.at@icloud.ca,Proin non massa non ante
Wynne,Holman,Mr,1965-12-17,148 Fusce Avenue,Upper Hutt,South Island,7223,(06) 0712 6615,(02) 7625 7845,aenean.eget@yahoo.com,consectetuer rhoncus. Nullam
Fletcher,Castillo,Mr,1967-04-25,"P.O. Box 349, 6991 Aenean Av.",Waiheke Island,South Island,6956,(07) 8195 5288,(02) 7399 8475,ante.ipsum.primis@aol.net,"enim, condimentum eget, volutpat ornare, facilisis"
Rana,Hamilton,Ms,1949-12-09,7784 Viverra. Rd.,Hastings,South Island,2346,(04) 3546 2841,(06) 0592 6544,augue.porttitor.interdum@google.edu,"cursus, diam at pretium aliquet, metus urna convallis"
Jin,Wolf,Miss,1964-05-25,622-3007 Sem Rd.,Balclutha,North Island,3363,(08) 1189 6289,(07) 3647 8913,dictum.augue@aol.org,"est tempor bibendum. Donec felis orci,"
Rooney,Lucas,Ms,1940-02-14,5492 Arcu. St.,Rangiora,North Island,2433,(04) 6752 7265,(05) 1558 8210,ac.eleifend@hotmail.org,"facilisis,"
Xavier,Glover,Miss,1903-10-31,Ap #716-4785 A Avenue,Dunedin,North Island,3088,(08) 7661 4848,(02) 4294 4310,id@protonmail.net,"Aliquam tincidunt, nunc ac mattis ornare, lectus"
Audra,Shaw,Sir,1943-03-24,"Ap #190-5402 Enim, Road",Kapiti,South Island,2817,(05) 5709 8734,(05) 7545 4388,ultrices@aol.edu,pede.
Sasha,Goodman,Miss,1959-10-13,Ap #661-2665 Sed St.,Wanaka,South Island,6463,(07) 8169 6686,(05) 3664 2691,commodo@icloud.couk,"lectus convallis est, vitae"
Marcia,Chaney,Miss,1945-06-21,Ap #982-4854 Morbi Road,Hawera,South Island,3732,(01) 6811 6071,(04) 1477 1613,a.magna.lorem@icloud.ca,"cursus non, egestas a, dui."
Roth,Torres,Miss,1943-04-11,Ap #591-2711 Nec Av.,Wanaka,North Island,6275,(03) 2133 1812,(05) 1330 8331,quis.tristique.ac@icloud.edu,"sodales at,"
Laura,Harrington,Ms,1961-09-28,"398-7703 Vel, Ave",Wanaka,South Island,5833,(02) 9092 6054,(05) 4493 7280,erat@aol.org,malesuada malesuada. Integer id
Zenaida,Mcdaniel,Ms,1948-04-06,"P.O. Box 809, 1454 Nunc Rd.",Dannevirke,South Island,8651,(04) 9277 6182,(04) 7524 1441,nulla.aliquet@icloud.edu,metus facilisis lorem
Branden,Carrillo,Ms,1913-03-21,Ap #336-776 Nisl. Street,Tauranga,South Island,6451,(09) 0056 4768,(05) 1134 4643,erat@aol.net,venenatis lacus.
Oscar,Craig,Sir,1936-05-18,897-8640 Pede Av.,Alexandra,North Island,5581,(07) 1392 2063,(04) 9531 1893,facilisis@google.com,"risus, at fringilla"
Nell,Ross,Sir,1951-03-08,406-2619 Hymenaeos. Road,Motueka,South Island,4592,(02) 7717 1660,(03) 7269 5544,ultrices@outlook.couk,dui augue
