firstName,lastName,address,homePhone,mobilePhone,email
Ashton,Rocha,Ap #163-9917 Gravida Street,(07) 4687 8129,(01) 6212 5894,id.blandit@hotmail.net
Yolanda,Lyons,Ap #427-1120 Curabitur St.,(08) 6207 7265,(08) 4029 7837,a.ultricies@protonmail.com
Hashim,Dejesus,Ap #868-8722 Luctus Ave,(02) 5044 8280,(06) 9585 0487,sed.orci@outlook.com
Mona,Stone,Ap #493-2061 Pellentesque St.,(02) 5356 9363,(03) 5857 7316,ac.metus@outlook.couk
Abigail,Owen,Ap #838-6289 Sagittis Avenue,(07) 2193 6533,(09) 9187 4357,cursus.non@yahoo.couk
Dolan,Ewing,8550 Aliquam St.,(04) 8612 5348,(03) 3257 2773,sed.sem.egestas@google.com
Florence,Barlow,290-5610 Auctor St.,(09) 8222 3541,(06) 7114 2181,quis.turpis@google.edu
Jared,Mccall,Ap #980-8319 Magna. St.,(05) 8397 9705,(03) 5827 4110,cras.dictum@icloud.edu
Abra,Hendricks,4534 Phasellus St.,(08) 0715 3463,(09) 4545 4274,luctus.et.ultrices@hotmail.ca
Len,Chavez,Ap #603-2748 Sit Street,(07) 2507 3008,(09) 8843 3284,non.enim@icloud.couk
Kyla,Sheppard,244-2443 Consectetuer Avenue,(03) 2185 7730,(02) 9117 2063,fringilla@google.com
Dawn,Moore,303-7781 Convallis Ave,(04) 2123 4505,(02) 2846 9476,eu.dolor.egestas@icloud.com
Giselle,Gordon,"127-7473 Dolor, Avenue",(04) 9212 6145,(06) 5217 2584,penatibus@google.com
Iris,Miller,"P.O. Box 894, 3203 Ipsum Av.",(08) 8288 4677,(02) 2121 4543,mauris@google.ca
Hakeem,Bolton,"7014 Ut, Road",(05) 1321 4647,(02) 4426 8979,tellus.non@hotmail.org
Tamara,Martin,Ap #652-8113 Lectus Avenue,(07) 4364 6853,(08) 8858 7725,penatibus.et.magnis@icloud.com
Yolanda,Middleton,Ap #504-767 Pede Rd.,(04) 2271 4954,(06) 2584 3493,ultrices.posuere@yahoo.com
Mara,Armstrong,7532 Cursus. St.,(07) 2815 6326,(02) 3735 6449,ut.eros.non@icloud.com
Graham,Clark,854-9876 Dapibus Avenue,(05) 1312 4232,(07) 9737 5138,orci.donec@icloud.ca
Kato,Herrera,"P.O. Box 169, 3630 Lobortis Ave",(05) 3086 9935,(08) 6953 2763,euismod.mauris@yahoo.com
