NHI,preferredName,dateOfBirth,eMail,phone,preferredContactMethod
AAO0004,Venetta  ,1950-09-24,AAO0004@havemydata.nz,6610012,text
AAB0008,Clora  ,1919-05-12,AAB0008@havemydata.nz,7260016,phone
AAK0012,Maxwell  ,1967-08-12,AAK0012@havemydata.nz,6970020,text
AAY0016,Larraine  ,1980-04-11,AAY0016@havemydata.nz,6950024,text
AAY0020,Nakisha  ,1921-08-18,AAY0020@havemydata.nz,8520028,phone
AAG0024,Max  ,1922-03-07,AAG0024@havemydata.nz,7740032,text
AAG0028,Brock  ,1953-02-05,AAG0028@havemydata.nz,8060036,phone
AAZ0032,Leora  ,1913-01-19,AAZ0032@havemydata.nz,8690040,phone
AAV0036,Bea  ,1985-03-17,AAV0036@havemydata.nz,8140044,text
AAI0040,Kenya  ,1985-10-14,AAI0040@havemydata.nz,7260048,text
AAM0044,Naomi  ,1913-02-18,AAM0044@havemydata.nz,8170052,phone
AAY0048,Andera  ,1944-02-22,AAY0048@havemydata.nz,7910056,text
AAB0052,Kenna  ,1967-12-15,AAB0052@havemydata.nz,7410060,phone
AAV0056,Carol  ,1928-03-31,AAV0056@havemydata.nz,6770064,phone
AAT0060,Nakisha  ,1957-02-06,AAT0060@havemydata.nz,6810068,phone
AAG0064,Carol  ,1955-05-23,AAG0064@havemydata.nz,7790072,text
AAR0068,Helen  ,1972-06-17,AAR0068@havemydata.nz,7110076,text
AAV0072,Leora  ,1964-09-13,AAV0072@havemydata.nz,7570080,phone
AAR0076,Brock  ,1952-10-31,AAR0076@havemydata.nz,8130084,text
AAZ0080,Carter  ,1923-06-06,AAZ0080@havemydata.nz,7820088,text
AAI0084,Delorse  ,1945-12-12,AAI0084@havemydata.nz,9090092,phone
AAW0088,Todd  ,1964-04-15,AAW0088@havemydata.nz,8350096,text
AAO0092,Cherie  ,1936-05-11,AAO0092@havemydata.nz,8650100,text
AAU0096,Glennie  ,1970-11-12,AAU0096@havemydata.nz,6710104,phone
ABN0100,Man  ,1951-12-05,ABN0100@havemydata.nz,6760108,phone
ABG0104,Andera  ,1915-11-25,ABG0104@havemydata.nz,6850112,text
ABI0108,Jan  ,1934-11-21,ABI0108@havemydata.nz,6560116,phone
ABU0112,Fredda  ,1937-01-04,ABU0112@havemydata.nz,8330120,phone
ABY0116,Bea  ,1920-04-05,ABY0116@havemydata.nz,7980124,phone
ABQ0120,Yelena  ,1933-10-24,ABQ0120@havemydata.nz,6970128,text
ABQ0124,Carol  ,1968-02-01,ABQ0124@havemydata.nz,7030132,phone
ABI0128,Tyron  ,1975-02-01,ABI0128@havemydata.nz,7510136,phone
ABS0132,Clora  ,1940-01-06,ABS0132@havemydata.nz,8120140,phone
ABC0136,Max  ,1937-01-26,ABC0136@havemydata.nz,8160144,text
ABJ0140,Mae  ,1940-05-07,ABJ0140@havemydata.nz,8860148,text
ABY0144,Kenna  ,1972-04-02,ABY0144@havemydata.nz,8150152,phone
ABP0148,Santa  ,1960-01-16,ABP0148@havemydata.nz,6560156,phone
ABP0152,Maxwell  ,1928-02-05,ABP0152@havemydata.nz,8410160,text
ABC0156,Shanell  ,1961-10-31,ABC0156@havemydata.nz,8670164,text
ABG0160,Josephina  ,1943-10-21,ABG0160@havemydata.nz,6740168,phone
ABC0164,Carol  ,1972-09-05,ABC0164@havemydata.nz,6830172,phone
ABN0168,Susann  ,1966-11-11,ABN0168@havemydata.nz,8410176,text
ABZ0172,Latosha  ,1979-01-11,ABZ0172@havemydata.nz,7710180,text
ABN0176,Era  ,1928-06-05,ABN0176@havemydata.nz,7210184,email
ABC0180,Gena  ,1919-11-14,ABC0180@havemydata.nz,7820188,phone
ABN0184,Delorse  ,1939-07-01,ABN0184@havemydata.nz,7120192,phone
ABN0188,Brock  ,1933-01-26,ABN0188@havemydata.nz,6590196,text
ABP0192,Maxwell  ,1920-05-17,ABP0192@havemydata.nz,8010200,phone
ABA0196,Glennie  ,1969-07-19,ABA0196@havemydata.nz,6620204,phone
ABG0200,Lilla  ,1960-03-11,ABG0200@havemydata.nz,8650208,text
ACL0204,Clora  ,1953-02-27,ACL0204@havemydata.nz,6940212,text
ACL0208,Bea  ,1939-03-10,ACL0208@havemydata.nz,7230216,text
ACJ0212,Marietta  ,1979-09-06,ACJ0212@havemydata.nz,7670220,phone
ACC0216,Jan  ,1913-02-18,ACC0216@havemydata.nz,6580224,phone
ACK0220,Emogene  ,1962-11-11,ACK0220@havemydata.nz,8180228,phone
ACP0224,Shan  ,1935-05-22,ACP0224@havemydata.nz,9070232,text
ACO0228,Sondra  ,1931-11-10,ACO0228@havemydata.nz,8280236,text
ACH0232,Mae  ,1931-02-14,ACH0232@havemydata.nz,6690240,text
ACT0236,Nakisha  ,1957-09-18,ACT0236@havemydata.nz,8520244,text
ACV0240,Tyron  ,1972-03-27,ACV0240@havemydata.nz,7250248,phone
ACY0244,Fredda  ,1974-04-25,ACY0244@havemydata.nz,8440252,phone
ACQ0248,Lilla  ,1921-10-22,ACQ0248@havemydata.nz,7930256,phone
ACI0252,Shanell  ,1976-07-14,ACI0252@havemydata.nz,7930260,phone
ACP0256,Cherie  ,1919-02-05,ACP0256@havemydata.nz,7070264,text
