"CAM40","Camden Hatfield","3276 Hamdenhatf Road","RD13","Timaru","Camden Hatfield","(03)420-8856","(021)947-4638","Camden.Hatfield@emailProvide.co.nz","62"
"HAS41","Hasad Harrington","2424 Hasadhar Road","RD10","Ashburton","Hasad Harrington","(03)495-3350","(021)335-9858","Hasad.Harrington@emailProvide.co.nz","76"
"ILL83","Illiana Maldonado","187 Mllianamal Road","RD7","Waimate","Illiana Maldonado","(03)396-2283","(021)711-2979","Illiana.Maldonado@emailProvide.co.nz","60"
"JOC56","Jocelyn Dickson","742 Dlynd Road","RD6","Timaru","Jocelyn Dickson","(03)454-5318","(021)546-7391","Jocelyn.Dickson@emailProvide.co.nz","66"
"MEL94","Melissa Ruiz","2913 Relissar Road","RD5","Ashburton","Melissa Ruiz","(03)224-6947","(021)435-1322","Melissa.Ruiz@emailProvide.co.nz","48"
"NOL48","Nola Trading","4886 Vlatrading Road","RD4","Oamaru","Nola Vasquez","(03)421-3219","(021)934-7606","Nola.Trading@emailProvide.co.nz","63"
"ROS88","Rosales Farms","2812 Rlesfarm Road","RD14","Oamaru","Elizabeth Rosales","(03)414-8115","(021)290-1538","Rosales.Farms@emailProvide.co.nz","61"
"ANA22","Anastasia Trading","2025 Mtasiat Road","RD10","Oamaru","Anastasia Mckinney","(03)505-3328","(021)260-6630","Anastasia.Trading@emailProvide.co.nz","79"
"AUT58","Autumn Mooney","626 Mumnmoone Road","RD13","Waimate","Autumn Mooney","(03)493-7738","(021)483-5527","Autumn.Mooney@emailProvide.co.nz","75"
"LEE46","Lee Chase","3924 Cchase Road","RD5","Oamaru","Lee Chase","(03)390-2387","(021)762-7644","Lee.Chase@emailProvide.co.nz","59"
"MAC97","Macdonald Farms","1925 Mcdonald Road","RD4","Waimate","Yvette Macdonald","(03)497-7464","(021)242-3216","Macdonald.Farms@emailProvide.co.nz","77"
"MAR64","Marshall Leach","1572 Lrshalllea Road","RD10","Oamaru","Marshall Leach","(03)357-4050","(021)548-9789","Marshall.Leach@emailProvide.co.nz","56"
"MEG54","Meghan Dalton","4912 Dndalt Road","RD11","Timaru","Meghan Dalton","(03)095-7171","(021)299-3270","Meghan.Dalton@emailProvide.co.nz","39"
"DIL15","Dillard Farms","307 Dillardf Road","RD5","Timaru","Eaton Dillard","(03)504-5836","(021)984-2181","Dillard.Farms@emailProvide.co.nz","78"
"INA96","Ina Trading","4383 Batrading Road","RD11","Ashburton","Ina Boyd","(03)507-7772","(021)779-6718","Ina.Trading@emailProvide.co.nz","80"
